p_x,p_y,p_z,u_x,u_y,u_z,dot
-75.000000000,75.000000000,37.500000000,0.000000000,0.000000000,0.000000000,0.000000000
-75.000000000,75.000000000,18.750000000,0.000000000,0.000000000,0.000000000,0.000000000
-75.000000000,75.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-75.000000000,75.000000000,-18.750000000,0.000000000,0.000000000,0.000000000,0.000000000
-75.000000000,75.000000000,-37.500000000,0.000000000,0.000000000,0.000000000,0.000000000
-75.000000000,75.000000000,-56.250000000,0.000000000,0.000000000,0.000000000,0.000000000
-56.250000000,75.000000000,-75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-37.500000000,75.000000000,-75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-18.750000000,75.000000000,-75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-0.000000000,75.000000000,-75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
18.750000000,75.000000000,-75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
37.500000000,75.000000000,-75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
56.250000000,75.000000000,-75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
75.000000000,75.000000000,-56.250000000,0.000000000,0.000000000,0.000000000,0.000000000
75.000000000,75.000000000,-37.500000000,0.000000000,0.000000000,0.000000000,0.000000000
75.000000000,75.000000000,-18.750000000,0.000000000,0.000000000,0.000000000,0.000000000
75.000000000,75.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
75.000000000,75.000000000,18.750000000,0.000000000,0.000000000,0.000000000,0.000000000
75.000000000,75.000000000,37.500000000,0.000000000,0.000000000,0.000000000,0.000000000
75.000000000,75.000000000,56.250000000,0.000000000,0.000000000,0.000000000,0.000000000
75.000000000,56.250000000,75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
75.000000000,37.500000000,75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
75.000000000,18.750000000,75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
75.000000000,0.000000000,75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
75.000000000,-18.750000000,75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
75.000000000,-37.500000000,75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
75.000000000,-56.250000000,75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
56.250000000,-75.000000000,75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
37.500000000,-75.000000000,75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
18.750000000,-75.000000000,75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.000000000,-75.000000000,75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-18.750000000,-75.000000000,75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-37.500000000,-75.000000000,75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-56.250000000,-75.000000000,75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-75.000000000,-75.000000000,56.250000000,0.000000000,0.000000000,0.000000000,0.000000000
-75.000000000,-75.000000000,37.500000000,0.000000000,0.000000000,0.000000000,0.000000000
-75.000000000,-75.000000000,18.750000000,0.000000000,0.000000000,0.000000000,0.000000000
-75.000000000,-75.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-75.000000000,-75.000000000,-18.750000000,0.000000000,0.000000000,0.000000000,0.000000000
-75.000000000,-75.000000000,-37.500000000,0.000000000,0.000000000,0.000000000,0.000000000
-75.000000000,-75.000000000,-56.250000000,0.000000000,0.000000000,0.000000000,0.000000000
-56.250000000,-75.000000000,-75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-37.500000000,-75.000000000,-75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-18.750000000,-75.000000000,-75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-0.000000000,-75.000000000,-75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
18.750000000,-75.000000000,-75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
37.500000000,-75.000000000,-75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
56.250000000,-75.000000000,-75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
75.000000000,-75.000000000,-56.250000000,0.000000000,0.000000000,0.000000000,0.000000000
75.000000000,-75.000000000,-37.500000000,0.000000000,0.000000000,0.000000000,0.000000000
75.000000000,-75.000000000,-18.750000000,0.000000000,0.000000000,0.000000000,0.000000000
75.000000000,-75.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
75.000000000,-75.000000000,18.750000000,0.000000000,0.000000000,0.000000000,0.000000000
75.000000000,-75.000000000,37.500000000,0.000000000,0.000000000,0.000000000,0.000000000
75.000000000,-75.000000000,56.250000000,0.000000000,0.000000000,0.000000000,0.000000000
75.000000000,-56.250000000,-75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
75.000000000,-37.500000000,-75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
75.000000000,-18.750000000,-75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
75.000000000,-0.000000000,-75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
75.000000000,18.750000000,-75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
75.000000000,37.500000000,-75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
75.000000000,56.250000000,-75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-75.000000000,56.250000000,75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-75.000000000,37.500000000,75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-75.000000000,18.750000000,75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-75.000000000,0.000000000,75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-75.000000000,-18.750000000,75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-75.000000000,-37.500000000,75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-75.000000000,-56.250000000,75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-75.000000000,-56.250000000,-75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-75.000000000,-37.500000000,-75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-75.000000000,-18.750000000,-75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-75.000000000,-0.000000000,-75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-75.000000000,18.750000000,-75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-75.000000000,37.500000000,-75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-75.000000000,56.250000000,-75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
2.121320339,0.000000000,-2.121320349,-0.051964950,-0.014190658,-0.073430825,0.435889738
-2.121320349,0.000000000,-2.121320339,0.038263356,-0.036536437,-0.044692658,0.388495391
-2.121320339,0.000000000,2.121320349,0.031184801,-0.031725790,0.070043120,0.256101833
2.121320349,0.000000000,2.121320339,-0.056273953,-0.000621842,0.074801241,0.460780010
2.121320339,2.121320349,0.000000000,-0.044774531,-0.048571396,0.019810119,0.945437270
-2.121320349,2.121320339,0.000000000,0.007371027,-0.020691540,-0.003708712,0.931295787
-2.121320339,-2.121320349,0.000000000,0.024836306,0.012118495,0.039792353,0.545788333
2.121320349,-2.121320339,0.000000000,-0.049959651,0.036448726,0.001821766,0.966921949
0.000000000,2.121320349,-2.121320339,0.010053236,-0.052658406,-0.103261618,0.285784095
0.000000000,2.121320339,2.121320349,0.002591349,-0.048223246,0.100802650,0.280118268
0.000000000,-2.121320349,2.121320339,-0.014510691,0.031330121,0.090840412,0.168801424
0.000000000,-2.121320339,-2.121320349,-0.010669388,0.029631671,-0.059455515,0.269266300
-8.582687378,-4.628999233,-2.612853050,0.642726859,0.334540911,0.307889892,0.959644579
-8.409413338,-4.951098919,-2.622686625,0.633467294,0.361195265,0.306845648,0.960665003
-8.466273308,-5.013571262,-1.865158200,0.653768981,0.374958085,0.234268587,0.977529055
-8.642414093,-4.684542656,-1.861489177,0.662538285,0.348218053,0.231896518,0.976968911
-8.501752853,-5.051268578,-1.114379644,0.653524202,0.388506598,0.140253993,0.990865280
-8.680526733,-4.716891766,-1.113750935,0.669100060,0.361178635,0.144755520,0.990404112
-8.520351410,-5.069808006,-0.370990932,0.658150276,0.394209319,0.064449281,0.996976607
-8.700152397,-4.733505726,-0.370979548,0.671661568,0.365891925,0.061558187,0.997945763
-8.599919319,-4.095161438,-4.113837719,0.568155473,0.267365293,0.457488827,0.905944274
-8.419970512,-4.454667568,-4.093798637,0.565213689,0.291731264,0.456781970,0.904768821
-8.516600609,-4.539643288,-3.355911970,0.604333025,0.307620389,0.387834385,0.936737245
-8.755830765,-4.132147789,-3.364936829,0.625251043,0.277890081,0.388747270,0.933577998
-8.768054962,-4.281089783,-2.588028193,0.647935014,0.303533097,0.304654605,0.953613753
-8.942164421,-4.000972271,-2.520714045,0.646184732,0.274725308,0.297235128,0.951672669
-8.913450241,-3.951928139,-3.041743279,0.637861823,0.268046132,0.351489935,0.945024239
-8.817363739,-4.358571053,-1.851854801,0.666801013,0.318578645,0.229233312,0.974807861
